customer_Id,DOB,Gender,city_code
268408,02-01-1970,M,4
269696,07-01-1970,F,8
268159,08-01-1970,F,8
270181,10-01-1970,F,2
268073,11-01-1970,M,1
273216,15-01-1970,F,5
266929,15-01-1970,M,8
275152,16-01-1970,M,4
275034,18-01-1970,F,4
273966,21-01-1970,M,8
270829,22-01-1970,F,8
266997,23-01-1970,M,9
272455,25-01-1970,M,7
274593,26-01-1970,M,10
273391,29-01-1970,F,2
267657,29-01-1970,F,7
271344,29-01-1970,F,5
268275,01-02-1970,F,7
274630,01-02-1970,M,4
273541,01-02-1970,M,4
270324,01-02-1970,F,1
273613,06-02-1970,M,1
271608,09-02-1970,F,4
269008,13-02-1970,F,6
267199,14-02-1970,,2
267916,17-02-1970,F,8
267609,18-02-1970,M,2
270602,18-02-1970,M,5
272883,19-02-1970,M,5
272359,19-02-1970,M,4
272603,19-02-1970,F,9
272028,20-02-1970,F,1
274717,21-02-1970,M,7
273316,21-02-1970,M,2
271262,21-02-1970,M,2
267166,22-02-1970,F,4
270827,04-03-1970,F,10
273423,04-03-1970,F,4
271692,07-03-1970,M,5
274592,08-03-1970,M,5
271777,08-03-1970,M,8
266895,12-03-1970,M,4
274360,14-03-1970,M,5
274602,15-03-1970,F,3
266799,16-03-1970,F,5
272821,17-03-1970,F,3
267379,21-03-1970,F,2
273016,22-03-1970,M,3
273106,23-03-1970,F,2
271935,26-03-1970,M,5
273109,27-03-1970,F,5
270986,27-03-1970,M,10
266969,28-03-1970,M,2
273871,29-03-1970,M,7
273811,29-03-1970,M,8
271312,01-04-1970,F,5
274834,02-04-1970,M,4
271991,02-04-1970,M,5
269765,04-04-1970,F,9
272071,06-04-1970,F,6
272645,14-04-1970,F,2
270780,18-04-1970,F,3
272736,19-04-1970,F,1
272627,19-04-1970,F,3
272795,22-04-1970,M,1
270450,24-04-1970,F,3
266862,24-04-1970,F,5
274535,26-04-1970,F,4
269640,29-04-1970,M,7
268290,29-04-1970,M,7
275250,02-05-1970,F,1
272555,03-05-1970,M,1
268732,06-05-1970,M,2
271478,06-05-1970,F,1
267529,09-05-1970,M,4
271066,10-05-1970,M,8
267819,10-05-1970,F,9
269271,12-05-1970,F,5
273150,14-05-1970,F,10
267386,15-05-1970,M,7
274350,16-05-1970,F,3
273645,22-05-1970,F,4
270911,22-05-1970,M,2
268424,23-05-1970,F,8
271045,23-05-1970,F,7
268627,01-06-1970,M,9
270430,01-06-1970,M,7
271626,02-06-1970,,6
272301,03-06-1970,F,8
269531,05-06-1970,M,2
274849,09-06-1970,M,4
271031,09-06-1970,F,2
272018,09-06-1970,F,6
272186,09-06-1970,M,10
270047,10-06-1970,M,1
274128,10-06-1970,M,10
268313,11-06-1970,F,8
270933,15-06-1970,M,8
271072,16-06-1970,M,6
271465,17-06-1970,F,9
274770,17-06-1970,F,2
270676,19-06-1970,M,5
273529,19-06-1970,F,1
273162,19-06-1970,M,8
268533,23-06-1970,F,6
275246,25-06-1970,M,3
267066,25-06-1970,F,10
269345,26-06-1970,F,10
275116,29-06-1970,M,5
273840,01-07-1970,M,3
268792,04-07-1970,M,4
274892,05-07-1970,F,8
273708,09-07-1970,F,7
272495,10-07-1970,M,8
272926,11-07-1970,F,4
268447,14-07-1970,M,
273442,16-07-1970,M,4
267081,17-07-1970,F,3
267042,23-07-1970,M,8
273151,24-07-1970,F,4
274169,24-07-1970,F,1
270130,26-07-1970,M,9
274546,26-07-1970,M,3
273575,27-07-1970,M,1
267280,02-08-1970,M,5
267304,03-08-1970,M,4
274445,06-08-1970,M,8
270678,06-08-1970,F,4
270328,07-08-1970,F,4
269449,09-08-1970,M,6
275014,12-08-1970,M,4
269825,21-08-1970,M,4
271750,23-08-1970,F,6
267826,24-08-1970,F,7
272501,26-08-1970,F,1
273587,29-08-1970,F,1
272721,01-09-1970,M,8
275134,02-09-1970,F,8
267713,03-09-1970,M,1
274029,03-09-1970,F,1
272261,03-09-1970,F,9
274628,04-09-1970,M,5
273776,06-09-1970,F,2
274743,06-09-1970,M,4
270051,07-09-1970,M,8
274455,08-09-1970,F,10
272088,08-09-1970,M,5
273583,08-09-1970,M,5
267490,09-09-1970,F,4
268709,09-09-1970,F,
267536,10-09-1970,M,3
271286,10-09-1970,M,1
273517,11-09-1970,M,5
268365,12-09-1970,M,5
266959,13-09-1970,F,1
272408,13-09-1970,M,6
271177,14-09-1970,F,5
274180,14-09-1970,M,6
267613,15-09-1970,M,3
270748,17-09-1970,M,5
274682,19-09-1970,M,10
266822,20-09-1970,F,9
272017,22-09-1970,M,8
267424,22-09-1970,M,7
272402,23-09-1970,F,10
274194,24-09-1970,M,5
274232,26-09-1970,F,5
272777,29-09-1970,M,7
273372,29-09-1970,F,1
273398,01-10-1970,F,1
267707,02-10-1970,F,2
273170,03-10-1970,F,8
271924,03-10-1970,M,5
270446,05-10-1970,M,10
273353,07-10-1970,F,4
270331,08-10-1970,F,10
269676,09-10-1970,M,8
269919,11-10-1970,M,1
268312,12-10-1970,F,9
267959,12-10-1970,M,6
268998,12-10-1970,F,7
272784,14-10-1970,F,8
270619,16-10-1970,M,6
274865,18-10-1970,F,8
273705,20-10-1970,M,5
268772,20-10-1970,F,3
266972,21-10-1970,M,7
269235,22-10-1970,F,4
270938,23-10-1970,F,9
271959,26-10-1970,M,9
272168,26-10-1970,M,2
271587,27-10-1970,F,10
273929,28-10-1970,M,5
268697,29-10-1970,F,1
270567,01-11-1970,M,8
268635,01-11-1970,M,4
275166,05-11-1970,M,10
267603,06-11-1970,F,1
266954,06-11-1970,M,4
267396,13-11-1970,M,9
272922,14-11-1970,F,7
268481,15-11-1970,F,3
268084,18-11-1970,M,1
274493,19-11-1970,M,5
273222,19-11-1970,M,6
270316,19-11-1970,M,4
270945,23-11-1970,M,1
275123,23-11-1970,M,9
267589,24-11-1970,F,9
269243,25-11-1970,F,7
273122,28-11-1970,M,4
274486,29-11-1970,M,9
273556,01-12-1970,M,3
270352,04-12-1970,M,2
275200,04-12-1970,M,8
272212,10-12-1970,M,4
273169,12-12-1970,F,3
273664,13-12-1970,M,6
267851,13-12-1970,M,3
268636,15-12-1970,M,4
269458,16-12-1970,F,10
269867,17-12-1970,F,1
270218,18-12-1970,F,8
